DATE (MM/DD/YYYY),KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW
05/01/2024,351973.45,39367.64,117009.06,115.27,2720.37,497.21,100564,25140971,9608,117572,29385656,11233,9652,2412510,922,227789,56939137,969870,169.754,4
05/02/2024,353826.38,39144.04,119220.71,115.03,2752.99,503.17,101093,25273323,9658,119795,29941089,11445,9632,2407457,920,230520,57621868,987740,170.867,5
05/03/2024,357657.88,38935.34,123171.43,109.79,2808.22,513.27,102188,25547001,9763,123765,30933274,11824,9193,2297666,878,235145,58777940,1019713,173.062,6
05/04/2024,363958.25,38676.54,118279.24,108.33,2769.56,506.2,103988,25997028,9935,118849,29704649,11355,9071,2267263,867,231908,57968940,981181,176.63,7
05/05/2024,320144.95,33341.16,106070.52,108.39,2473.62,452.11,91470,22867506,8739,106581,26638552,10183,9076,2268428,867,207127,51774485,879305,155.741,1
05/06/2024,298691.35,41003.65,97304.51,125.87,2312.71,422.7,85340,21335105,8153,97773,24437054,9341,10540,2634332,1007,193653,48406491,807120,139.925,2
05/07/2024,330660.4,41083.88,104597.25,122.91,2506.33,458.09,94474,23618609,9026,105101,26268553,10041,10292,2572230,983,209867,52459392,868530,157.204,3
05/08/2024,335339.65,39850.07,109600.09,118.08,2577.51,471.1,95811,23952842,9154,110128,27524966,10522,9887,2471201,945,215826,53949009,909001,160.438,4
05/09/2024,328276.83,40831.99,102878.79,128.52,2483.19,453.86,93793,23448354,8961,103374,25836980,9876,10762,2689724,1028,207929,51975058,854554,156.064,5
05/10/2024,340694.33,40535.0,108362.62,125.71,2588.56,473.12,97341,24335319,9300,108884,27214188,10403,10526,2630948,1006,216752,54180455,899616,162.975,6
05/11/2024,347069.07,40064.23,107229.33,121.0,2592.01,473.75,99163,24790658,9474,107746,26929575,10294,10132,2532438,968,217041,54252671,891162,166.702,7
