DATE (MM/DD/YYYY),AVG Air Temperature [deg F],MAX Air Temperature [deg F],MIN Air Temperature [deg F],AVG Rel Humidity [%],MAX Rel Humidity [%],MIN Rel Humidity [%],AVG Avg Wind Speed @ 3m [MPH],MAX Avg Wind Speed @ 3m [MPH],MIN Avg Wind Speed @ 3m [MPH],AVG Peak Wind Speed @ 3m [MPH],MAX Peak Wind Speed @ 3m [MPH],MIN Peak Wind Speed @ 3m [MPH],AVG Station Pressure [inHg],MAX Station Pressure [inHg],MIN Station Pressure [inHg]
05/01/2024,76.2268,87.494,61.322,19.3349,34.09,8.04,7.5972,24.4721,0.0,11.1715,30.646,0.0,27.2098,27.2561,27.1436
05/02/2024,76.1305,89.69,60.836,18.6194,36.39,6.938,5.1366,22.8839,0.0,8.0311,27.2906,0.0,27.2407,27.2873,27.1868
05/03/2024,77.3261,89.96,63.878,19.797,41.99,6.877,5.7147,23.8457,0.0,8.8923,39.0345,0.0,27.2277,27.2663,27.1653
05/04/2024,76.8995,89.762,61.106,17.882,31.3,6.234,5.5733,20.5574,0.0,8.6903,25.6129,0.0,27.2277,27.267,27.1798
05/05/2024,75.1771,86.774,63.176,18.5651,30.04,9.04,11.2813,32.4132,0.0,16.0872,44.0676,0.0,27.2212,27.2677,27.1493
05/06/2024,69.9283,80.366,58.838,20.0174,33.99,9.31,8.348,22.0115,0.0,11.8487,28.9683,0.0,27.2837,27.3173,27.2472
05/07/2024,73.1505,87.206,54.986,13.3932,25.92,6.048,6.7789,23.3536,0.0,9.8466,30.646,0.0,27.2452,27.2989,27.1655
05/08/2024,75.7615,87.098,62.312,15.5992,26.48,8.08,8.5409,30.1986,0.0,12.0579,39.0345,0.0,27.1872,27.2238,27.1251
05/09/2024,74.0838,85.064,61.25,15.3423,34.73,8.01,8.0973,25.1432,0.0,11.4258,37.3568,0.0,27.2615,27.3053,27.2202
05/10/2024,75.129,88.952,57.074,11.7916,23.92,6.176,6.5163,22.8168,0.0,9.7519,32.3237,0.0,27.271,27.3179,27.2076
05/11/2024,75.5285,86.882,59.162,12.3879,21.9,7.531,7.6955,28.3867,0.0,11.0852,40.7122,0.0,27.242,27.278,27.1854
05/12/2024,76.4232,86.99,61.034,14.6442,25.96,9.39,6.1834,24.3826,0.0,9.3777,30.646,0.0,27.254,27.2929,27.2152
05/13/2024,79.4934,92.588,62.942,15.9381,29.6,8.5,4.7087,21.3851,0.0,7.6336,28.9683,0.0,27.271,27.3238,27.215
05/14/2024,80.8018,93.722,65.408,14.0956,25.37,7.356,5.6788,25.5011,0.0,8.639,32.3237,0.0,27.237,27.2892,27.1533
05/15/2024,79.0643,90.734,65.156,16.8708,27.79,10.03,6.16,27.313,0.0,9.4563,32.3237,0.0,27.2152,27.2536,27.1392
05/16/2024,78.6572,86.756,65.822,19.2022,38.46,12.39,7.7178,35.7015,0.0,11.2456,44.0676,0.0,27.249,27.2831,27.2137
05/17/2024,81.918,93.668,66.29,16.2073,29.06,8.99,5.3882,19.9758,0.0,8.4864,28.9683,0.0,27.2651,27.3201,27.2097
05/18/2024,84.6263,97.034,68.306,14.3375,27.09,6.789,6.9473,29.6394,0.0,10.3198,34.0014,0.0,27.2864,27.3372,27.2232
05/19/2024,82.8475,95.27,68.378,11.517,20.31,5.641,6.2347,23.0404,0.0,9.3463,32.3237,0.0,27.3,27.3524,27.2444
05/20/2024,79.4473,90.932,66.218,13.8564,20.17,7.012,9.0293,41.1373,0.0,13.0035,50.7785,0.0,27.2831,27.3209,27.2443
05/21/2024,80.4601,92.822,66.2,15.8189,31.7,6.524,8.0357,26.3958,0.0,11.3984,32.3237,0.0,27.2505,27.2868,27.201
05/22/2024,79.1,93.362,62.942,11.8182,27.18,4.599,5.6748,25.7024,0.0,8.7623,35.6791,0.0,27.2614,27.2994,27.2122
05/23/2024,79.4682,92.444,63.14,8.2824,14.13,4.326,6.9053,24.0694,0.0,10.5733,32.3237,0.0,27.2467,27.2825,27.1929
05/24/2024,81.7229,95.414,65.624,12.0165,21.83,5.928,6.5647,25.0089,0.0,10.0495,30.646,0.0,27.2405,27.2845,27.1762
05/25/2024,79.6615,88.916,70.232,13.7686,22.71,9.63,9.3656,28.0288,0.0,13.2069,39.0345,0.0,27.2569,27.2849,27.2303
05/26/2024,80.446,94.91,63.356,14.655,28.08,7.258,4.6796,17.8955,0.0,7.342,22.2575,0.0,27.3011,27.342,27.2608
05/27/2024,83.7853,99.932,64.724,11.4608,22.16,4.64,4.2362,18.4771,0.0,6.8357,28.9683,0.0,27.321,27.3688,27.2763
05/28/2024,86.0979,100.814,68.45,10.9369,20.11,5.329,6.391,25.7471,0.0,9.5889,32.3237,0.0,27.3125,27.3498,27.2624
05/29/2024,84.9957,98.42,69.53,9.7678,18.45,4.841,5.4676,23.3312,0.0,8.4506,30.646,0.0,27.3133,27.3698,27.2528
05/30/2024,85.2272,99.932,67.316,10.0839,20.26,5.159,4.5885,15.9382,0.0,7.3004,23.9352,0.0,27.2843,27.3338,27.2267
05/31/2024,86.9164,100.94,69.998,10.4671,22.45,3.658,5.5313,21.922,0.0,8.427,27.2906,0.0,27.2483,27.2877,27.1839
06/01/2024,87.5486,102.308,69.764,9.4729,18.91,3.423,6.2642,25.4116,0.0,9.3321,37.3568,0.0,27.2411,27.2839,27.1824
06/02/2024,86.2164,98.636,68.504,10.0702,19.55,4.172,6.7877,25.0313,0.0,10.2447,30.646,0.0,27.2472,27.285,27.1841
