DATE (MM/DD/YYYY),KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,AVG Air Temperature [deg F],MAX Air Temperature [deg F],MIN Air Temperature [deg F],AVG Rel Humidity [%],MAX Rel Humidity [%],MIN Rel Humidity [%],AVG Avg Wind Speed @ 3m [MPH],MAX Avg Wind Speed @ 3m [MPH],MIN Avg Wind Speed @ 3m [MPH],AVG Peak Wind Speed @ 3m [MPH],MAX Peak Wind Speed @ 3m [MPH],MIN Peak Wind Speed @ 3m [MPH],AVG Station Pressure [inHg],MAX Station Pressure [inHg],MIN Station Pressure [inHg]
2024-05-01,351973.45,39367.64,117009.06,115.27,2720.37,497.21,100564,25140971,9608,117572,29385656,11233,9652,2412510,922,227789,56939137,969870,169.754,4,76.2268,87.494,61.322,19.3349,34.09,8.04,7.5972,24.4721,0.0,11.1715,30.646,0.0,27.2098,27.2561,27.1436
2024-05-02,353826.38,39144.04,119220.71,115.03,2752.99,503.17,101093,25273323,9658,119795,29941089,11445,9632,2407457,920,230520,57621868,987740,170.867,5,76.1305,89.69,60.836,18.6194,36.39,6.938,5.1366,22.8839,0.0,8.0311,27.2906,0.0,27.2407,27.2873,27.1868
2024-05-03,357657.88,38935.34,123171.43,109.79,2808.22,513.27,102188,25547001,9763,123765,30933274,11824,9193,2297666,878,235145,58777940,1019713,173.062,6,77.3261,89.96,63.878,19.797,41.99,6.877,5.7147,23.8457,0.0,8.8923,39.0345,0.0,27.2277,27.2663,27.1653
2024-05-04,363958.25,38676.54,118279.24,108.33,2769.56,506.2,103988,25997028,9935,118849,29704649,11355,9071,2267263,867,231908,57968940,981181,176.63,7,76.8995,89.762,61.106,17.882,31.3,6.234,5.5733,20.5574,0.0,8.6903,25.6129,0.0,27.2277,27.267,27.1798
2024-05-05,320144.95,33341.16,106070.52,108.39,2473.62,452.11,91470,22867506,8739,106581,26638552,10183,9076,2268428,867,207127,51774485,879305,155.741,1,75.1771,86.774,63.176,18.5651,30.04,9.04,11.2813,32.4132,0.0,16.0872,44.0676,0.0,27.2212,27.2677,27.1493
2024-05-06,298691.35,41003.65,97304.51,125.87,2312.71,422.7,85340,21335105,8153,97773,24437054,9341,10540,2634332,1007,193653,48406491,807120,139.925,2,69.9283,80.366,58.838,20.0174,33.99,9.31,8.348,22.0115,0.0,11.8487,28.9683,0.0,27.2837,27.3173,27.2472
2024-05-07,330660.4,41083.88,104597.25,122.91,2506.33,458.09,94474,23618609,9026,105101,26268553,10041,10292,2572230,983,209867,52459392,868530,157.204,3,73.1505,87.206,54.986,13.3932,25.92,6.048,6.7789,23.3536,0.0,9.8466,30.646,0.0,27.2452,27.2989,27.1655
2024-05-08,335339.65,39850.07,109600.09,118.08,2577.51,471.1,95811,23952842,9154,110128,27524966,10522,9887,2471201,945,215826,53949009,909001,160.438,4,75.7615,87.098,62.312,15.5992,26.48,8.08,8.5409,30.1986,0.0,12.0579,39.0345,0.0,27.1872,27.2238,27.1251
2024-05-09,328276.83,40831.99,102878.79,128.52,2483.19,453.86,93793,23448354,8961,103374,25836980,9876,10762,2689724,1028,207929,51975058,854554,156.064,5,74.0838,85.064,61.25,15.3423,34.73,8.01,8.0973,25.1432,0.0,11.4258,37.3568,0.0,27.2615,27.3053,27.2202
2024-05-10,340694.33,40535.0,108362.62,125.71,2588.56,473.12,97341,24335319,9300,108884,27214188,10403,10526,2630948,1006,216752,54180455,899616,162.975,6,75.129,88.952,57.074,11.7916,23.92,6.176,6.5163,22.8168,0.0,9.7519,32.3237,0.0,27.271,27.3179,27.2076
2024-05-11,347069.07,40064.23,107229.33,121.0,2592.01,473.75,99163,24790658,9474,107746,26929575,10294,10132,2532438,968,217041,54252671,891162,166.702,7,75.5285,86.882,59.162,12.3879,21.9,7.531,7.6955,28.3867,0.0,11.0852,40.7122,0.0,27.242,27.278,27.1854
2024-05-12,316021.25,39554.45,110102.01,113.22,2512.76,459.26,90292,22572955,8626,110632,27651018,10570,9481,2369553,906,210405,52593526,911162,150.116,1,76.4232,86.99,61.034,14.6442,25.96,9.39,6.1834,24.3826,0.0,9.3777,30.646,0.0,27.254,27.2929,27.2152
2024-05-13,334928.33,38849.13,123966.02,113.79,2744.21,501.56,95694,23923461,9143,124563,31132826,11901,9529,2381535,910,229785,57437823,1023888,160.769,2,79.4934,92.588,62.942,15.9381,29.6,8.5,4.7087,21.3851,0.0,7.6336,28.9683,0.0,27.271,27.3238,27.215
2024-05-14,372518.2,38529.87,129569.02,113.41,2939.32,537.23,106434,26608454,10169,130193,32539964,12439,9496,2373402,907,246123,61521820,1072321,181.35,3,80.8018,93.722,65.408,14.0956,25.37,7.356,5.6788,25.5011,0.0,8.639,32.3237,0.0,27.237,27.2892,27.1533
2024-05-15,369727.45,36594.52,129429.63,111.85,2926.57,534.9,105636,26409114,10092,130053,32504959,12425,9366,2340866,895,245055,61254939,1070938,180.896,4,79.0643,90.734,65.156,16.8708,27.79,10.03,6.16,27.313,0.0,9.4563,32.3237,0.0,27.2152,27.2536,27.1392
2024-05-16,370015.58,34000.34,131490.22,106.48,2946.91,538.61,105719,26429695,10100,132123,33022453,12623,8916,2228503,852,246758,61680650,1087449,182.486,5,78.6572,86.756,65.822,19.2022,38.46,12.39,7.7178,35.7015,0.0,11.2456,44.0676,0.0,27.249,27.2831,27.2137
2024-05-17,386060.72,38393.12,138025.27,107.56,3081.16,563.15,110303,27575777,10538,138690,34663666,13250,9007,2251111,860,258000,64490554,1141270,188.781,6,81.918,93.668,66.29,16.2073,29.06,8.99,5.3882,19.9758,0.0,8.4864,28.9683,0.0,27.2651,27.3201,27.2097
2024-05-18,330812.23,38077.57,117661.06,104.83,2645.54,483.53,94518,23629455,9030,118228,29549399,11295,8778,2194003,839,221524,55372857,973053,158.952,7,84.6263,97.034,68.306,14.3375,27.09,6.789,6.9473,29.6394,0.0,10.3198,34.0014,0.0,27.2864,27.3372,27.2232
2024-05-19,288279.61,40095.17,116981.92,108.66,2496.1,456.21,82366,20591409,7869,117545,29378839,11230,9099,2274122,869,209010,52244369,963537,134.763,1,82.8475,95.27,68.378,11.517,20.31,5.641,6.2347,23.0404,0.0,9.3463,32.3237,0.0,27.3,27.3524,27.2444
2024-05-20,294820.75,20759.37,97527.2,105.19,2281.49,417.0,84235,21058633,8048,97997,24492980,9363,8808,2201509,842,191040,47753122,808528,148.816,2,79.4473,90.932,66.218,13.8564,20.17,7.012,9.0293,41.1373,0.0,13.0035,50.7785,0.0,27.2831,27.3209,27.2443
2024-05-21,302561.3,39923.95,111179.08,110.86,2477.39,452.8,86446,21611530,8259,111714,27921515,10673,9283,2320123,887,207443,51853168,918486,142.612,3,80.4601,92.822,66.2,15.8189,31.7,6.524,8.0357,26.3958,0.0,11.3984,32.3237,0.0,27.2505,27.2868,27.201
2024-05-22,306186.0,39688.86,116296.92,124.4,2564.72,468.76,87482,21870437,8358,116857,29206808,11165,10417,2603596,995,214756,53680841,959778,144.698,4,79.1,93.362,62.942,11.8182,27.18,4.599,5.6748,25.7024,0.0,8.7623,35.6791,0.0,27.2614,27.2994,27.2122
2024-05-23,319647.13,39559.01,117061.52,119.31,2614.73,477.9,91328,22831947,8725,117625,29398830,11238,9990,2496961,954,218943,54727738,967186,152.088,5,79.4682,92.444,63.14,8.2824,14.13,4.326,6.9053,24.0694,0.0,10.5733,32.3237,0.0,27.2467,27.2825,27.1929
2024-05-24,326985.44,37614.11,118824.38,113.44,2655.05,485.27,93424,23356112,8926,119397,29841554,11407,9499,2374100,908,222320,55571766,981993,157.125,6,81.7229,95.414,65.624,12.0165,21.83,5.928,6.5647,25.0089,0.0,10.0495,30.646,0.0,27.2405,27.2845,27.1762
2024-05-25,311447.97,40538.09,109740.12,110.19,2489.78,455.06,88985,22246293,8502,110269,27560134,10535,9227,2306170,882,208481,52112597,907827,147.108,7,79.6615,88.916,70.232,13.7686,22.71,9.63,9.3656,28.0288,0.0,13.2069,39.0345,0.0,27.2569,27.2849,27.2303
2024-05-26,313818.61,39553.05,111001.07,110.77,2513.58,459.41,89662,22415624,8566,111536,27876808,10656,9275,2318289,886,210473,52610721,918142,148.926,1,80.446,94.91,63.356,14.655,28.08,7.258,4.6796,17.8955,0.0,7.342,22.2575,0.0,27.3011,27.342,27.2608
2024-05-27,331760.81,39133.87,121866.27,111.45,2705.86,494.56,94789,23697210,9056,122453,30605494,11699,9332,2332365,892,226574,56635070,1006786,158.907,2,83.7853,99.932,64.724,11.4608,22.16,4.64,4.2362,18.4771,0.0,6.8357,28.9683,0.0,27.321,27.3688,27.2763
2024-05-28,334235.35,37547.95,126497.42,111.78,2770.21,506.32,95496,23873963,9124,127107,31768562,12144,9360,2339424,894,231962,57981949,1044073,161.099,3,86.0979,100.814,68.45,10.9369,20.11,5.329,6.391,25.7471,0.0,9.5889,32.3237,0.0,27.3125,27.3498,27.2624
2024-05-29,336812.8,38758.31,126325.13,111.32,2776.48,507.46,96232,24058067,9194,126933,31725293,12127,9321,2329756,891,232487,58113116,1042942,161.841,4,84.9957,98.42,69.53,9.7678,18.45,4.841,5.4676,23.3312,0.0,8.4506,30.646,0.0,27.3133,27.3698,27.2528
2024-05-30,339161.0,38624.59,129336.49,112.01,2821.31,515.66,96903,24225795,9258,129959,32481566,12416,9379,2344157,896,236241,59051518,1067258,163.184,5,85.2272,99.932,67.316,10.0839,20.26,5.159,4.5885,15.9382,0.0,7.3004,23.9352,0.0,27.2843,27.3338,27.2267
2024-05-31,333785.3,38298.06,135147.56,110.07,2870.76,524.69,95367,23841817,9111,135798,33940959,12974,9217,2303590,881,240382,60086365,1113230,160.462,6,86.9164,100.94,69.998,10.4671,22.45,3.658,5.5313,21.922,0.0,8.427,27.2906,0.0,27.2483,27.2877,27.1839
